lat,long,closest city,country code,temp,humidity,cloudiness,wind speed
8.918050832050582,84.95559371265898,batticaloa,lk,76.08,70,22,4.72
-39.33948564808869,26.073336041051164,port elizabeth,za,58.1,91,31,7.34
-76.08787810574891,157.53454906407535,bluff,nz,66.79,48,0,7.83
-4.894565444012642,5.401483313886871,omboue,ga,77.49,90,96,9.37
-81.26603983683974,25.806061762187426,bredasdorp,za,60.12,82,100,4.61
-69.12887193037,71.02659557622039,saint-philippe,re,77.58,87,98,2.86
22.93050288679669,-80.80512740860878,marti,cu,70.07,76,9,10.31
64.11276874721239,-34.88002630865819,tasiilaq,gl,11.55,54,10,5.99
27.01843579575946,-123.53169605576736,lompoc,us,51.53,76,90,6.91
88.32990325640401,-97.84848553215578,qaanaaq,gl,3.83,82,100,6.2
-5.336865287318616,-0.8459313278885077,takoradi,gh,78.89,84,76,3.29
21.293007042124472,59.18694585287707,sur,om,71.62,54,0,3.22
-39.11990282438987,-48.90315115404263,chuy,uy,66.33,82,0,11.21
85.68059684715749,117.15176929772468,saskylakh,ru,-40.63,100,44,2.17
31.15223984370155,45.85450427137195,mehran,ir,51.28,70,16,9.69
-10.704440020581984,-65.97469857420631,riberalta,bo,78.91,80,100,1.1
-37.85627875462293,-45.59511658177948,rio grande,br,68.95,80,0,13.35
1.745943128485436,-50.17109858265144,amapa,br,72.99,99,100,1.74
-69.75703875672097,-177.6562748143803,vaini,to,86.16,89,20,9.22
-3.8605851608949706,-23.83531863508466,georgetown,sh,79.81,86,20,1.01
-46.30353177957966,78.3191068271426,mahebourg,mu,75.49,88,40,3.44
-20.163146830709948,33.070921383848315,chipinge,zw,65.48,97,100,5.53
57.39721696176778,145.56529319603482,okhotsk,ru,-14.24,80,100,14.5
-76.5826586709216,137.661864420389,hobart,au,69.8,38,20,5.01
76.16691702498045,-65.08889250723334,narsaq,gl,31.17,56,100,15.32
37.14686722943931,148.28273261513232,kamaishi,jp,31.15,88,100,5.86
-70.09821778094798,-41.53556436890534,ushuaia,ar,56.86,58,40,4.61
18.180742234173536,-32.00709584662229,ponta do sol,cv,65.93,90,100,15.37
-16.77734314410712,-43.16030295811504,grao mogol,br,63.88,99,100,2.82
60.62930107777015,165.43688715977737,tilichiki,ru,-1.41,97,100,9.84
-44.994522988087354,163.4341180379477,te anau,nz,71.67,35,1,6.76
-7.607161537083627,23.234670242024492,mwene-ditu,cd,65.98,95,100,3.58
10.33788648277364,-35.501313955374286,sao filipe,cv,75.02,68,100,10.33
-44.64896403752007,-149.4824764323287,mataura,pf,66.47,28,0,2.95
-70.15656199216815,-96.19569679977705,punta arenas,cl,53.71,82,40,12.66
40.794695335444345,137.1514451998458,oga,jp,22.19,74,100,2.19
-34.18669124707998,120.96707980677553,esperance,au,75.04,57,0,14.2
58.635713789496975,39.257034166192824,poshekhonye,ru,9.97,93,100,14.72
-8.700025203620356,-106.41166548356784,puerto ayora,ec,69.91,92,98,6.24
69.69658276977509,77.94947489348783,tazovskiy,ru,9.27,95,88,13.35
-68.05219042173619,-9.123804630828175,cape town,za,63.46,76,0,4
64.0564329030532,106.95136509704469,yerbogachen,ru,-7.85,84,45,7.25
-56.88864254564456,45.93476290457292,east london,za,64.22,88,67,8.81
-59.00997288484234,103.94442667852587,albany,au,26.56,87,100,3.36
29.939844820224152,100.64916964600076,yaan,cn,76.55,23,58,4.59
-44.08978403937541,-87.526582023822,castro,cl,54.79,96,0,8.08
87.12658170688053,21.69581713157521,longyearbyen,sj,0.18,73,70,5.84
32.18316737981473,36.27867658509999,sabha,jo,52.21,36,0,6.87
-17.573168887976763,-144.90945971278512,tautira,pf,87.82,75,37,11.7
-10.10265730498324,20.759995204151636,saurimo,ao,63.54,97,100,2.19
-31.93380833022814,-55.22675710714566,tacuarembo,uy,66.67,51,0,5.64
26.90747105897394,42.540652375399816,buraydah,sa,54.05,45,100,9.84
40.32222675657232,19.4538755542917,orikum,al,52.39,77,50,16.64
-5.7001504795043445,-74.28982565334509,requena,pe,49.42,89,100,15.59
-56.20576893283269,-45.36044219417067,mar del plata,ar,69.78,88,0,5.99
-36.65026067732244,131.31838381476678,flinders,au,85.8,68,0,14.9
88.34016658115684,-149.60018466496638,barrow,us,-12.98,77,75,8.05
68.36643477006746,-49.371792017571664,qasigiannguit,gl,6.26,72,18,6.04
-35.115606769614544,-7.516317701130674,jamestown,sh,47.91,61,90,8.05
18.863139111551547,-146.18725431817003,hilo,us,75.63,48,1,8.05
79.25483401751217,-125.7117913880426,tuktoyaktuk,ca,-13,77,90,20.71
41.9615101039073,124.25173560610546,fushun,cn,-2.49,39,5,6.78
61.159048066706674,32.71450751831398,ilinskiy,ru,8.94,85,75,13.42
10.356367288058706,-167.26022951649855,kapaa,us,74.8,72,20,4
47.37520850896448,-20.123830968030973,dingle,ie,79.11,85,87,10.13
40.81471131085925,-6.936947165323261,guarda,pt,44.31,94,100,9.08
-44.5261957774508,106.31538546463725,busselton,au,83.05,38,0,10.98
33.2500838650471,36.140306676388064,qatana,sy,32.29,78,4,1.74
18.762876476518713,110.60501352230489,wanning,cn,71.17,87,100,13.09
42.70696779960085,-33.11681610668609,ribeira grande,pt,64.76,93,100,26.19
-47.300115807801845,-141.67426986088228,rikitea,pf,77.79,67,79,9.53
88.01746372661322,129.56028045183024,tiksi,ru,-26.54,100,84,3.65
61.342632013587036,-113.0277268665841,yellowknife,ca,-17.88,76,75,8.05
-12.041956889717511,22.530515727851025,luau,ao,63.84,99,100,2.64
40.09593730320674,-61.414824809542125,halifax,ca,23.32,57,6,18.99
30.354477387928497,-76.60387491674142,marsh harbour,bs,72.54,57,0,11.79
4.274909402637178,28.21109784654095,yambio,sd,76.77,35,83,4.25
13.317819210897696,97.65392517087446,dawei,mm,77.81,63,1,2.91
-8.412256072397298,-130.20485327541417,atuona,pf,78.57,76,18,11.23
-75.80628986401942,4.324557520116116,hermanus,za,61.81,83,95,14.79
-16.636076927190004,-157.43540705166814,avarua,ck,80.65,83,100,14.97
-84.51479852651674,41.445331100357635,port alfred,za,63.64,89,43,10.22
-76.59845878478073,177.4113705507487,kaitangata,nz,62.92,73,0,10.56
-22.80585373768865,65.22079901310121,bambous virieux,mu,75.45,88,40,3.44
-16.701332569336927,109.80145396860183,karratha,au,88.86,46,37,7.29
-27.803865399300292,162.30842042849696,noumea,nc,87.01,99,20,7.56
42.758778444719525,69.3008620119881,shymkent,kz,32.59,86,0,2.24
67.36973288218863,-123.65734887349112,norman wells,ca,-25.56,68,90,3.44
-15.557381828853707,170.62498082108345,vila,vu,42.82,94,100,4.25
18.83066997101143,-83.76861451562857,west bay,ky,76.89,65,20,1.99
55.76348350697259,-6.390397342847507,bowmore,gb,55.85,52,1,3
45.623923890382315,-46.7299558130926,torbay,ca,24.3,81,75,26.46
27.954399337206766,-92.32206781432721,abbeville,us,47.93,93,100,7.02
-21.990668156838694,21.80320914630613,ghanzi,bw,74.41,29,95,11.48
-32.8701007680678,-53.4848401730964,rio branco,uy,77.61,100,75,2.3
-20.04050376452662,-50.75988023105563,santa fe do sul,br,71.17,59,0,6.67
45.11702075882815,19.71720818958528,beocin,rs,46.18,76,100,8.37
66.64629512285339,135.4178630654224,batagay,ru,-47.42,99,93,2.04
